id_endereco|logradouro|bairro|cidade|uf|cep
32|7989 Mauris St.|Centro|Uberlândia|MG|35385184
33|7026 Eu Road|Martins|Itabuna|BA|44363-370
34|Ap #227-1309 Faucibus. St.|Morumbi|Joinville|SC|88400-693
35|137-3040 Enim, Rd.|Santana|Ipatinga|MG|38058977
36|9928 Ultrices. St.|Granada|São José dos Pinhais|PR|81431-736
37|7427 Ac Rd.|Carajas|Cascavel|PR|87342-390
38|Ap #396-1895 Mauris Street|Planalto|Canoas|RS|91652-542
39|P.O. Box 114, 8055 Vulputate, Av.|Figueiras|Belford Roxo|RJ|25443-369
40|271-2944 Pharetra Rd.|Cabral|Pelotas|RS|94894-361
41|Ap #238-2162 Pede. Road|Carajas|Contagem|MG|33273310
42|P.O. Box 692, 8823 Integer St.|Liberdade|Ribeirão Preto|SP|11240-342
43|Ap #570-1280 Arcu. Ave|Bonfim|Ananindeua|PA|66013-580
44|P.O. Box 667, 3288 Adipiscing St.|Linhares|Juazeiro|BA|40767-913
45|Ap #734-161 Integer Rd.|Jardim|Santarém|PA|68041-228
46|110-6190 Nunc Street|Santana|Carapicuíba|SP|13742-020
47|Ap #958-1851 Purus. St.|Fundinho|Rio de Janeiro|RJ|22104-306
48|573-9207 Tempor Ave|Flamengo|Jaboatão dos Guararapes|PE|54837-395
49|P.O. Box 175, 5266 Curabitur Rd.|Jardim|Guarulhos|SP|11216-280
50|Ap #560-7526 Accumsan Street|Monica|Diadema|SP|14903-077
51|P.O. Box 623, 300 Ultricies St.|Pacaembu|Salvador|BA|47685-489
52|349-7018 Diam Avenue|Pampulha|Contagem|MG|32059517
53|1015 Commodo St.|Limeira|Ilhéus|BA|41769-221
54|5986 Sagittis St.|Eldorado|Chapadinha|MA|65361-770
55|735-6152 Amet Road|Linhares|Betim|MG|32048510
56|379-5901 Vivamus Avenue|Planalto|Campina Grande|PB|58279-287
57|491 Donec Av.|Eldorado|Camaçari|BA|44587-886
58|Ap #372-9791 Nibh Avenue|Flamengo|Santa Maria|RS|91212-814
59|P.O. Box 526, 4182 Integer Ave|Morumbi|São José dos Pinhais|PR|84379-415
60|615-3727 Eu, Street|Eldorado|Nova Iguaçu|RJ|24448-545
61|P.O. Box 780, 986 Nunc Rd.|Planalto|Crato|CE|63819-813
62|Ap #284-8550 Ultrices. Av.|Cabral|São Gonçalo|RJ|21406-521
63|P.O. Box 626, 9921 Nulla. Street|Floramar|Uberlândia|MG|39372897
64|218-311 Lacinia Av.|Fundinho|Juiz de Fora|MG|30537140
65|P.O. Box 227, 8804 Arcu. Avenue|Botafogo|Caucaia|CE|61232-462
66|P.O. Box 522, 9319 Vitae, Rd.|Planalto|Jundiaí|SP|11828-144
67|P.O. Box 174, 2095 Dictum Rd.|Monica|Camaragibe|PE|55103-374
68|9332 Neque. Avenue|Savassi|Uberaba|MG|33191032
69|311 Augue Rd.|Limeira|Piracicaba|SP|14415-268
70|834-4348 Donec St.|Morumbi|Governador Valadares|MG|33632776
71|Ap #502-7980 Pellentesque. Street|Liberdade|Uberlândia|MG|30188409
72|Ap #470-1366 Felis St.|Morumbi|Santa Maria|RS|99812-820
73|430-2248 Dis St.|Monica|Lauro de Freitas|BA|42136-355
74|7179 Justo. Av.|Monica|Blumenau|SC|89180-137
75|939-699 Dolor Rd.|Alvorada|Sousa|PB|58862-396
76|7508 Et, Ave|Progresso|Uberaba|MG|35947397
77|962-2269 Libero. Ave|Alvorada|Fortaleza|CE|63390-365
78|P.O. Box 747, 5453 Congue, Street|Pampulha|Mauá|SP|12900-471
79|P.O. Box 293, 4564 Orci Rd.|Eldorado|Ribeirão Preto|SP|12865-355
80|6887 Eu St.|Gloria|Montes Claros|MG|34858531
81|P.O. Box 413, 4292 Odio. Avenue|Savassi|Paranaguá|PR|81239-482
82|P.O. Box 880, 8080 Integer St.|Morumbi|Santa Luzia|MG|35159884
83|675-747 Felis, Av.|Martins|Rio de Janeiro|RJ|22178-868
84|Ap #707-2680 Orci St.|Limeira|Bacabal|MA|65605-982
85|964-1523 Aliquam Street|Planalto|Santa Maria|RS|96571-411
86|Ap #360-3081 Non Road|Botafogo|São Luís|MA|65491-311
87|7622 Vitae Ave|Eldorado|Guarulhos|SP|12208-321
88|850-3498 Scelerisque Rd.|Morumbi|Camaçari|BA|42228-982
89|511-8454 Ac, Street|Fundinho|Londrina|PR|81308-323
90|Ap #618-420 Ut Rd.|Santana|Olinda|PE|52201-645
91|4866 Lorem, Rd.|Martins|Barra do Corda|MA|65970-809
92|Ap #683-2956 Lorem Avenue|Iraja|Ipatinga|MG|39279057
93|5510 Augue, St.|Centro|Mauá|SP|14883-573
94|266-8750 Proin Street|Savassi|Fortaleza|CE|61981-975
95|Ap #867-5603 Nonummy Av.|Savassi|Cajazeiras|PB|58278-782
96|2737 Neque Av.|Botafogo|Porto Alegre|RS|99322-753
97|805-4141 Curabitur Avenue|Maravilha|Guarulhos|SP|18405-482
98|Ap #973-6924 Eget St.|Botafogo|Londrina|PR|87985-698
99|Ap #775-6683 Netus Rd.|Fundinho|Campinas|SP|16081-783
100|564 Ac Av.|Carajas|Rio de Janeiro|RJ|27472-134
