cidade|logradouro|id_endereco|uf|cep|bairro
Mogi das Cruzes|Ap #264-6136 Nisi St.|32|SP|14529-363|Linhares
Jaboatão dos Guararapes|896-936 Orci. Road|33|PE|52606-674|Martins
Luziânia|P.O. Box 256, 1579 Ipsum Street|34|GO|74763-948|Morumbi
Paulista|826-5783 Cras Road|35|PE|52579-266|Alvorada
São Gonçalo|Ap #751-2176 Quam Av.|36|RJ|25504-451|Morumbi
Diadema|419-4789 Malesuada Av.|37|SP|19702-952|Maravilha
Porto Alegre|Ap #778-4609 At, St.|38|RS|95261-289|Figueiras
Mauá|4934 Pharetra Ave|39|SP|17905-082|Eldorado
São João de Meriti|Ap #974-1825 In Av.|40|RJ|25966-259|Santana
Maringá|837-8749 Non Ave|41|PR|86727-196|Centro
Diadema|2669 Aliquam St.|42|SP|12698-496|Centro
Petrópolis|9390 Libero. St.|43|RJ|28473-133|Flamengo
Ribeirão das Neves|929-9717 Ipsum Av.|44|MG|32803313|Planalto
Juazeiro do Norte|6400 Orci, Ave|45|CE|63611-526|Botafogo
Camaçari|4213 Feugiat Road|46|BA|48027-019|Glória
Piracicaba|8810 Elit Avenue|47|SP|19039-141|Progresso
Niterói|P.O. Box 919, 7699 Neque Street|48|RJ|26742-891|Martins
Petrolina|4588 Dui, Av.|49|PE|50979-800|Morumbi
Ribeirão Preto|P.O. Box 609, 2388 Sed Rd.|50|SP|19799-560|Limeira
Osasco|395-7919 Sit Avenue|51|SP|17842-729|Liberdade
Camaragibe|368-9832 Mauris. St.|52|PE|52254-936|Glória
Itapipoca|625-6261 In St.|53|CE|62522-094|Liberdade
Juiz de Fora|P.O. Box 374, 5307 Nibh Av.|54|MG|36017056|Santana
Cascavel|753-9512 Euismod Rd.|55|PR|86316-539|Centro
Novo Hamburgo|P.O. Box 419, 3555 Enim, Avenue|56|RS|96668-885|Mônica
São João de Meriti|P.O. Box 656, 2854 Urna. Av.|57|RJ|23757-775|Colonial
Rio de Janeiro|Ap #826-6955 Egestas, Rd.|58|RJ|24611-878|Flamengo
Recife|P.O. Box 257, 6164 Sem. Road|59|PE|50753-995|Alvorada
Rio de Janeiro|411-4694 Ligula. Av.|60|RJ|26021-300|Jardim
Carapicuíba|P.O. Box 285, 6471 Dignissim. Ave|61|SP|16011-873|Fundinho
Gravataí|P.O. Box 907, 2497 Lobortis. Road|62|RS|96313-649|Centro
Pelotas|P.O. Box 694, 4186 Etiam Av.|63|RS|91768-449|Planalto
Vitória da Conquista|P.O. Box 318, 1847 Dictum. Avenue|64|BA|46008-225|Cabral
Santa Luzia|P.O. Box 256, 7969 Faucibus. St.|65|MG|33756156|Glória
Salvador|P.O. Box 506, 308 Velit Rd.|66|BA|40317-162|Progresso
Valparaíso de Goiás|Ap #285-6724 Eu, Rd.|67|GO|73755-925|Irajá
Ilhéus|5317 Non St.|68|BA|40330-239|Irajá
Juazeiro do Norte|Ap #194-5954 Ipsum Ave|69|CE|62646-201|Pampulha
Porto Alegre|266-4094 Dolor. St.|70|RS|90572-479|Glória
Carapicuíba|Ap #540-2715 Ultrices Avenue|71|SP|17088-189|Santana
Guarulhos|Ap #120-3336 Sed Rd.|72|SP|14587-176|Progresso
Valparaíso de Goiás|P.O. Box 537, 286 Egestas Street|73|GO|73775-195|Pacaembu
Anápolis|566-6319 Nibh Av.|74|GO|73706-898|Mônica
Campos dos Goytacazes|721-5463 Sem Street|75|RJ|24607-295|Fundinho
Maringá|Ap #135-1756 Dui Avenue|76|PR|83165-576|Pampulha
Ribeirão das Neves|P.O. Box 153, 538 Aenean Ave|77|MG|34395675|Colonial
Maringá|P.O. Box 902, 9264 Consequat Ave|78|PR|85926-421|Morumbi
Uberaba|2504 Ante Avenue|79|MG|31130071|Grama
Caucaia|3580 Phasellus Ave|80|CE|62114-832|Pampulha
Salvador|Ap #774-5388 A, Road|81|BA|44350-066|Flamengo
Juazeiro|4022 Hymenaeos. Street|82|BA|44247-091|Flamengo
Caxias do Sul|3540 Libero Road|83|RS|90775-648|Martins
Mogi das Cruzes|P.O. Box 979, 1427 Orci. Street|84|SP|11157-921|Fundinho
Santa Luzia|9991 Non, St.|85|MG|34389802|Alvorada
Niterói|P.O. Box 280, 730 Luctus Rd.|86|RJ|27468-856|Pampulha
Maringá|337-3893 Aptent St.|87|PR|84633-942|Pacaembu
Jundiaí|5872 Vel, Street|88|SP|12773-481|Bonfim
Ananindeua|Ap #570-1783 Nisi St.|89|PA|67399-195|Bonfim
Sobral|2568 Mauris Rd.|90|CE|61884-680|Santana
Guarulhos|Ap #549-1621 Porttitor Ave|91|SP|18832-170|Grama
Carapicuíba|5329 Integer Av.|92|SP|11369-531|Floramar
Caxias do Sul|8377 Vestibulum, Ave|93|RS|94394-484|Santana
Salvador|P.O. Box 774, 1027 Pellentesque St.|94|BA|46689-209|Limeira
Novo Hamburgo|8454 Justo St.|95|RS|94317-726|Fundinho
Osasco|Ap #701-9905 Porttitor Rd.|96|SP|12418-261|Savassi
Caxias do Sul|525-7847 Urna. Road|97|RS|95246-956|Bonfim
Pelotas|P.O. Box 648, 2431 Mi Rd.|98|RS|96378-393|Carajás
Porto Alegre|Ap #565-2431 Hendrerit. Street|99|RS|90613-361|Alvorada
Diadema|4955 Nunc Rd.|100|SP|17523-229|Progresso|SP|14164-023|Grama
Sousa|9798 Enim Rd.|97|PB|58784-566|Pacaembu
Santa Maria|928-3872 Suspendisse St.|98|RS|93781-636|Martins
Belford Roxo|P.O. Box 952, 6888 Nonummy. Street|99|Rio de Janeiro|28439-040|Monica
Juiz de Fora|Ap #798-7495 Libero Rd.|100|MG|31896348|Savassi
